GENE NAME,Enzyme or Protein,GENE NAME/GENE/ENZYME PROTEIN,KO classification,Metabolism/other,Top Pathway
SLIV_24475,asd2; Aspartate-semialdehyde dehydrogenase,D      SLIV_24475 asd2; Aspartate-semialdehyde dehydrogenase,K00133 asd; aspartate-semialdehyde dehydrogenase [EC:1.2.1.11],Metabolism,B  09105 Amino acid metabolism
SLIV_11720,hom; Homoserine dehydrogenase,D      SLIV_11720 hom; Homoserine dehydrogenase,K00003 hom; homoserine dehydrogenase [EC:1.1.1.3],Metabolism,B  09105 Amino acid metabolism
SLIV_35840,homoserine dehydrogenase,D      SLIV_35840 homoserine dehydrogenase,K00003 hom; homoserine dehydrogenase [EC:1.1.1.3],Metabolism,B  09105 Amino acid metabolism
SLIV_11710,thrB; Homoserine kinase,D      SLIV_11710 thrB; Homoserine kinase,K00872 thrB; homoserine kinase [EC:2.7.1.39],Metabolism,B  09105 Amino acid metabolism
SLIV_11715,thrC; Threonine synthase,D      SLIV_11715 thrC; Threonine synthase,K01733 thrC; threonine synthase [EC:4.2.3.1],Metabolism,B  09105 Amino acid metabolism
SLIV_16930,threonine synthase,D      SLIV_16930 threonine synthase,K01733 thrC; threonine synthase [EC:4.2.3.1],Metabolism,B  09105 Amino acid metabolism
SLIV_32360,aldolase,D      SLIV_32360 aldolase,K01620 ltaE; threonine aldolase [EC:4.1.2.48],Metabolism,B  09105 Amino acid metabolism
SLIV_11155,glyA1; Serine hydroxymethyltransferase,D      SLIV_11155 glyA1; Serine hydroxymethyltransferase,K00600 glyA; glycine hydroxymethyltransferase [EC:2.1.2.1],Metabolism,B  09105 Amino acid metabolism
SLIV_11670,glyA2; Serine hydroxymethyltransferase,D      SLIV_11670 glyA2; Serine hydroxymethyltransferase,K00600 glyA; glycine hydroxymethyltransferase [EC:2.1.2.1],Metabolism,B  09105 Amino acid metabolism
SLIV_14185,glyA3; Serine hydroxymethyltransferase,D      SLIV_14185 glyA3; Serine hydroxymethyltransferase,K00600 glyA; glycine hydroxymethyltransferase [EC:2.1.2.1],Metabolism,B  09105 Amino acid metabolism
SLIV_06095,transferase,D      SLIV_06095 transferase,K00865 glxK; glycerate 2-kinase [EC:2.7.1.165],Metabolism,B  09105 Amino acid metabolism
SLIV_26980,glycerate kinase,D      SLIV_26980 glycerate kinase,K00865 glxK; glycerate 2-kinase [EC:2.7.1.165],Metabolism,B  09105 Amino acid metabolism
SLIV_17330,"gpmA; 2,3-bisphosphoglycerate-dependent phos","D      SLIV_17330 gpmA; 2,3-bisphosphoglycerate-dependent phosphoglycerate mutase","K01834 PGAM; 2,3-bisphosphoglycerate-dependent phosphoglycerate mutase [EC:5.4.2.11]",Metabolism,B  09105 Amino acid metabolism
SLIV_08510,phosphoglycerate mutase,D      SLIV_08510 phosphoglycerate mutase,"K15634 gpmB; 2,3-bisphosphoglycerate-dependent phosphoglycerate mutase [EC:5.4.2.11]",Metabolism,B  09105 Amino acid metabolism
SLIV_10930,serA; D-3-phosphoglycerate dehydrogenase,D      SLIV_10930 serA; D-3-phosphoglycerate dehydrogenase,K00058 serA; D-3-phosphoglycerate dehydrogenase / 2-oxoglutarate reductase [EC:1.1.1.95 1.1.1.399],Metabolism,B  09105 Amino acid metabolism
SLIV_36235,dehydrogenase,D      SLIV_36235 dehydrogenase,K00058 serA; D-3-phosphoglycerate dehydrogenase / 2-oxoglutarate reductase [EC:1.1.1.95 1.1.1.399],Metabolism,B  09105 Amino acid metabolism
SLIV_16595,serC; Phosphoserine aminotransferase,D      SLIV_16595 serC; Phosphoserine aminotransferase,K00831 serC; phosphoserine aminotransferase [EC:2.6.1.52],Metabolism,B  09105 Amino acid metabolism
SLIV_28680,serB; Phosphoserine phosphatase,D      SLIV_28680 serB; Phosphoserine phosphatase,K01079 serB; phosphoserine phosphatase [EC:3.1.3.3],Metabolism,B  09105 Amino acid metabolism
SLIV_04520,2-amino-3-ketobutyrate coenzyme A ligase,D      SLIV_04520 2-amino-3-ketobutyrate coenzyme A ligase,K00639 kbl; glycine C-acetyltransferase [EC:2.3.1.29],Metabolism,B  09105 Amino acid metabolism
SLIV_04525,tdh; L-threonine 3-dehydrogenase,D      SLIV_04525 tdh; L-threonine 3-dehydrogenase,K00060 tdh; threonine 3-dehydrogenase [EC:1.1.1.103],Metabolism,B  09105 Amino acid metabolism
SLIV_30885,gcvP; Glycine dehydrogenase [decarboxylating,D      SLIV_30885 gcvP; Glycine dehydrogenase [decarboxylating],K00281 GLDC; glycine cleavage system P protein (glycine dehydrogenase) [EC:1.4.4.2],Metabolism,B  09105 Amino acid metabolism
SLIV_11145,gcvT; Aminomethyltransferase,D      SLIV_11145 gcvT; Aminomethyltransferase,K00605 gcvT; glycine cleavage system T protein (aminomethyltransferase) [EC:2.1.2.10],Metabolism,B  09105 Amino acid metabolism
SLIV_26810,dihydrolipoyl dehydrogenase,D      SLIV_26810 dihydrolipoyl dehydrogenase,K00382 DLD; dihydrolipoyl dehydrogenase [EC:1.8.1.4],Metabolism,B  09105 Amino acid metabolism
SLIV_11150,gcvH; Glycine cleavage system H protein,D      SLIV_11150 gcvH; Glycine cleavage system H protein,K02437 gcvH; glycine cleavage system H protein,Metabolism,B  09105 Amino acid metabolism
SLIV_04815,D-amino acid oxidase,D      SLIV_04815 D-amino acid oxidase,K00273 DAO; D-amino-acid oxidase [EC:1.4.3.3],Metabolism,B  09105 Amino acid metabolism
SLIV_06090,phosphatidylserine synthase,D      SLIV_06090 phosphatidylserine synthase,K17103 CHO1; CDP-diacylglycerol---serine O-phosphatidyltransferase [EC:2.7.8.8],Metabolism,B  09105 Amino acid metabolism
SLIV_10295,prr1; Gamma-aminobutyraldehyde dehydrogenase,D      SLIV_10295 prr1; Gamma-aminobutyraldehyde dehydrogenase,K00130 betB; betaine-aldehyde dehydrogenase [EC:1.2.1.8],Metabolism,B  09105 Amino acid metabolism
SLIV_10340,prr2; Gamma-aminobutyraldehyde dehydrogenase,D      SLIV_10340 prr2; Gamma-aminobutyraldehyde dehydrogenase,K00130 betB; betaine-aldehyde dehydrogenase [EC:1.2.1.8],Metabolism,B  09105 Amino acid metabolism
SLIV_14230,gbsA; Betaine aldehyde dehydrogenase,D      SLIV_14230 gbsA; Betaine aldehyde dehydrogenase,K00130 betB; betaine-aldehyde dehydrogenase [EC:1.2.1.8],Metabolism,B  09105 Amino acid metabolism
SLIV_32925,aldehyde dehydrogenase,D      SLIV_32925 aldehyde dehydrogenase,K00130 betB; betaine-aldehyde dehydrogenase [EC:1.2.1.8],Metabolism,B  09105 Amino acid metabolism
SLIV_22310,cbs; Putative cystathionine beta-synthase,D      SLIV_22310 cbs; Putative cystathionine beta-synthase,K01697 CBS; cystathionine beta-synthase [EC:4.2.1.22],Metabolism,B  09105 Amino acid metabolism
SLIV_18665,Putative cystathionine gamma-lyase,D      SLIV_18665 Putative cystathionine gamma-lyase,K01758 CTH; cystathionine gamma-lyase [EC:4.4.1.1],Metabolism,B  09105 Amino acid metabolism
SLIV_11160,sdaA; L-serine dehydratase,D      SLIV_11160 sdaA; L-serine dehydratase,K01752 E4.3.1.17; L-serine dehydratase [EC:4.3.1.17],Metabolism,B  09105 Amino acid metabolism
SLIV_02835,threonine dehydratase,D      SLIV_02835 threonine dehydratase,K01754 E4.3.1.19; threonine dehydratase [EC:4.3.1.19],Metabolism,B  09105 Amino acid metabolism
SLIV_13580,threonine dehydratase,D      SLIV_13580 threonine dehydratase,K01754 E4.3.1.19; threonine dehydratase [EC:4.3.1.19],Metabolism,B  09105 Amino acid metabolism
SLIV_27530,trpA; Tryptophan synthase alpha chain,D      SLIV_27530 trpA; Tryptophan synthase alpha chain,K01695 trpA; tryptophan synthase alpha chain [EC:4.2.1.20],Metabolism,B  09105 Amino acid metabolism
SLIV_27525,trpB; Tryptophan synthase beta chain,D      SLIV_27525 trpB; Tryptophan synthase beta chain,K01696 trpB; tryptophan synthase beta chain [EC:4.2.1.20],Metabolism,B  09105 Amino acid metabolism
SLIV_09620,aminotransferase,D      SLIV_09620 aminotransferase,K00836 ectB; diaminobutyrate-2-oxoglutarate transaminase [EC:2.6.1.76],Metabolism,B  09105 Amino acid metabolism
SLIV_28390,ectB; Diaminobutyrate-2-oxoglutarate transam,D      SLIV_28390 ectB; Diaminobutyrate-2-oxoglutarate transaminase,K00836 ectB; diaminobutyrate-2-oxoglutarate transaminase [EC:2.6.1.76],Metabolism,B  09105 Amino acid metabolism
SLIV_28395,"ectA; L-2,4-diaminobutyric acid acetyltransf","D      SLIV_28395 ectA; L-2,4-diaminobutyric acid acetyltransferase","K06718 ectA; L-2,4-diaminobutyric acid acetyltransferase [EC:2.3.1.178]",Metabolism,B  09105 Amino acid metabolism
SLIV_28385,ectC; L-ectoine synthase,D      SLIV_28385 ectC; L-ectoine synthase,K06720 ectC; L-ectoine synthase [EC:4.2.1.108],Metabolism,B  09105 Amino acid metabolism
SLIV_28380,ectD; Ectoine hydroxylase,D      SLIV_28380 ectD; Ectoine hydroxylase,K10674 ectD; ectoine hydroxylase [EC:1.14.11.55],Metabolism,B  09105 Amino acid metabolism
SLIV_23765,"rhbB; L-2,4-diaminobutyrate decarboxylase","D      SLIV_23765 rhbB; L-2,4-diaminobutyrate decarboxylase","K13745 ddc; L-2,4-diaminobutyrate decarboxylase [EC:4.1.1.86]",Metabolism,B  09105 Amino acid metabolism
SLIV_27625,amino acid decarboxylase,D      SLIV_27625 amino acid decarboxylase,"K13745 ddc; L-2,4-diaminobutyrate decarboxylase [EC:4.1.1.86]",Metabolism,B  09105 Amino acid metabolism
00270 Cystei,ne and methionine metabolism [PATH:slv00270],C    00270 Cysteine and methionine metabolism [PATH:slv00270],,Metabolism,B  09105 Amino acid metabolism
SLIV_32650,lyase,D      SLIV_32650 lyase,K01738 cysK; cysteine synthase [EC:2.5.1.47],Metabolism,B  09105 Amino acid metabolism
SLIV_18665,Putative cystathionine gamma-lyase,D      SLIV_18665 Putative cystathionine gamma-lyase,K01758 CTH; cystathionine gamma-lyase [EC:4.4.1.1],Metabolism,B  09105 Amino acid metabolism
SLIV_34275,Putative cystathionine beta-lyase,D      SLIV_34275 Putative cystathionine beta-lyase,K14155 patB; cysteine-S-conjugate beta-lyase [EC:4.4.1.13],Metabolism,B  09105 Amino acid metabolism
SLIV_35770,malY; Protein MalY,D      SLIV_35770 malY; Protein MalY,K14155 patB; cysteine-S-conjugate beta-lyase [EC:4.4.1.13],Metabolism,B  09105 Amino acid metabolism
SLIV_22310,cbs; Putative cystathionine beta-synthase,D      SLIV_22310 cbs; Putative cystathionine beta-synthase,K01697 CBS; cystathionine beta-synthase [EC:4.2.1.22],Metabolism,B  09105 Amino acid metabolism
SLIV_07450,homocysteine methyltransferase,D      SLIV_07450 homocysteine methyltransferase,K00547 mmuM; homocysteine S-methyltransferase [EC:2.1.1.10],Metabolism,B  09105 Amino acid metabolism
SLIV_29460,metH; Methionine synthase,D      SLIV_29460 metH; Methionine synthase,K00548 metH; 5-methyltetrahydrofolate--homocysteine methyltransferase [EC:2.1.1.13],Metabolism,B  09105 Amino acid metabolism
SLIV_30390,metK; S-adenosylmethionine synthase,D      SLIV_30390 metK; S-adenosylmethionine synthase,K00789 metK; S-adenosylmethionine synthetase [EC:2.5.1.6],Metabolism,B  09105 Amino acid metabolism
SLIV_20015,speE2; putative spermidine synthase 2,D      SLIV_20015 speE2; putative spermidine synthase 2,K00797 speE; spermidine synthase [EC:2.5.1.16],Metabolism,B  09105 Amino acid metabolism
SLIV_25425,speE1; putative spermidine synthase 1,D      SLIV_25425 speE1; putative spermidine synthase 1,K00797 speE; spermidine synthase [EC:2.5.1.16],Metabolism,B  09105 Amino acid metabolism
SLIV_21750,Purine nucleoside phosphorylase,D      SLIV_21750 Purine nucleoside phosphorylase,K00772 mtaP; 5'-methylthioadenosine phosphorylase [EC:2.4.2.28],Metabolism,B  09105 Amino acid metabolism
SLIV_27300,Laccase domain protein,D      SLIV_27300 Laccase domain protein,K05810 LACC1; purine-nucleoside/S-methyl-5'-thioadenosine phosphorylase / adenosine deaminase [EC:2.4.2.1 2.4.2.28 3.5.4.4],Metabolism,B  09105 Amino acid metabolism
SLIV_27795,hydrolase,D      SLIV_27795 hydrolase,K12960 mtaD; 5-methylthioadenosine/S-adenosylhomocysteine deaminase [EC:3.5.4.31 3.5.4.28],Metabolism,B  09105 Amino acid metabolism
SLIV_22640,S-methyl-5-thioribose-1-phosphate isomerase,D      SLIV_22640 S-methyl-5-thioribose-1-phosphate isomerase,K08963 mtnA; methylthioribose-1-phosphate isomerase [EC:5.3.1.23],Metabolism,B  09105 Amino acid metabolism
SLIV_31320,cystathionine gamma-synthase,D      SLIV_31320 cystathionine gamma-synthase,K01761 E4.4.1.11; methionine-gamma-lyase [EC:4.4.1.11],Metabolism,B  09105 Amino acid metabolism
SLIV_08495,adenosylhomocysteinase,D      SLIV_08495 adenosylhomocysteinase,K01251 AHCY; adenosylhomocysteinase [EC:3.13.2.1],Metabolism,B  09105 Amino acid metabolism
SLIV_22580,ahcY; Adenosylhomocysteinase,D      SLIV_22580 ahcY; Adenosylhomocysteinase,K01251 AHCY; adenosylhomocysteinase [EC:3.13.2.1],Metabolism,B  09105 Amino acid metabolism
SLIV_20220,ask; Aspartokinase,D      SLIV_20220 ask; Aspartokinase,K00928 lysC; aspartate kinase [EC:2.7.2.4],Metabolism,B  09105 Amino acid metabolism
SLIV_20225,asd1; Aspartate-semialdehyde dehydrogenase,D      SLIV_20225 asd1; Aspartate-semialdehyde dehydrogenase,K00133 asd; aspartate-semialdehyde dehydrogenase [EC:1.2.1.11],Metabolism,B  09105 Amino acid metabolism
SLIV_24475,asd2; Aspartate-semialdehyde dehydrogenase,D      SLIV_24475 asd2; Aspartate-semialdehyde dehydrogenase,K00133 asd; aspartate-semialdehyde dehydrogenase [EC:1.2.1.11],Metabolism,B  09105 Amino acid metabolism
SLIV_11720,hom; Homoserine dehydrogenase,D      SLIV_11720 hom; Homoserine dehydrogenase,K00003 hom; homoserine dehydrogenase [EC:1.1.1.3],Metabolism,B  09105 Amino acid metabolism
SLIV_35840,homoserine dehydrogenase,D      SLIV_35840 homoserine dehydrogenase,K00003 hom; homoserine dehydrogenase [EC:1.1.1.3],Metabolism,B  09105 Amino acid metabolism
SLIV_11710,thrB; Homoserine kinase,D      SLIV_11710 thrB; Homoserine kinase,K00872 thrB; homoserine kinase [EC:2.7.1.39],Metabolism,B  09105 Amino acid metabolism
SLIV_13600,metB; Cystathionine gamma-synthase,D      SLIV_13600 metB; Cystathionine gamma-synthase,K01739 metB; cystathionine gamma-synthase [EC:2.5.1.48],Metabolism,B  09105 Amino acid metabolism
SLIV_10890,ilvE; putative branched-chain-amino-acid ami,D      SLIV_10890 ilvE; putative branched-chain-amino-acid aminotransferase,K00826 E2.6.1.42; branched-chain amino acid aminotransferase [EC:2.6.1.42],Metabolism,B  09105 Amino acid metabolism
SLIV_30020,aminotransferase,D      SLIV_30020 aminotransferase,K00826 E2.6.1.42; branched-chain amino acid aminotransferase [EC:2.6.1.42],Metabolism,B  09105 Amino acid metabolism
SLIV_33380,glutamate-cysteine ligase,D      SLIV_33380 glutamate-cysteine ligase,K01919 gshA; glutamate--cysteine ligase [EC:6.3.2.2],Metabolism,B  09105 Amino acid metabolism
SLIV_15115,aspC; Aspartate aminotransferase,D      SLIV_15115 aspC; Aspartate aminotransferase,K00812 aspB; aspartate aminotransferase [EC:2.6.1.1],Metabolism,B  09105 Amino acid metabolism
SLIV_09335,sseB; Putative thiosulfate sulfurtransferase,D      SLIV_09335 sseB; Putative thiosulfate sulfurtransferase SseB,K01011 TST; thiosulfate/3-mercaptopyruvate sulfurtransferase [EC:2.8.1.1 2.8.1.2],Metabolism,B  09105 Amino acid metabolism
SLIV_17555,Putative thiosulfate sulfurtransferase,D      SLIV_17555 Putative thiosulfate sulfurtransferase,K01011 TST; thiosulfate/3-mercaptopyruvate sulfurtransferase [EC:2.8.1.1 2.8.1.2],Metabolism,B  09105 Amino acid metabolism
SLIV_14235,mdh; Malate dehydrogenase,D      SLIV_14235 mdh; Malate dehydrogenase,K00024 mdh; malate dehydrogenase [EC:1.1.1.37],Metabolism,B  09105 Amino acid metabolism
SLIV_11160,sdaA; L-serine dehydratase,D      SLIV_11160 sdaA; L-serine dehydratase,K01752 E4.3.1.17; L-serine dehydratase [EC:4.3.1.17],Metabolism,B  09105 Amino acid metabolism
SLIV_10930,serA; D-3-phosphoglycerate dehydrogenase,D      SLIV_10930 serA; D-3-phosphoglycerate dehydrogenase,K00058 serA; D-3-phosphoglycerate dehydrogenase / 2-oxoglutarate reductase [EC:1.1.1.95 1.1.1.399],Metabolism,B  09105 Amino acid metabolism
SLIV_36235,dehydrogenase,D      SLIV_36235 dehydrogenase,K00058 serA; D-3-phosphoglycerate dehydrogenase / 2-oxoglutarate reductase [EC:1.1.1.95 1.1.1.399],Metabolism,B  09105 Amino acid metabolism
SLIV_16595,serC; Phosphoserine aminotransferase,D      SLIV_16595 serC; Phosphoserine aminotransferase,K00831 serC; phosphoserine aminotransferase [EC:2.6.1.52],Metabolism,B  09105 Amino acid metabolism
00280 Valine,", leucine and isoleucine degradation [PATH:sl","C    00280 Valine, leucine and isoleucine degradation [PATH:slv00280]",,Metabolism,B  09105 Amino acid metabolism
SLIV_10890,ilvE; putative branched-chain-amino-acid ami,D      SLIV_10890 ilvE; putative branched-chain-amino-acid aminotransferase,K00826 E2.6.1.42; branched-chain amino acid aminotransferase [EC:2.6.1.42],Metabolism,B  09105 Amino acid metabolism
SLIV_30020,aminotransferase,D      SLIV_30020 aminotransferase,K00826 E2.6.1.42; branched-chain amino acid aminotransferase [EC:2.6.1.42],Metabolism,B  09105 Amino acid metabolism
SLIV_17980,vdh; Valine dehydrogenase,D      SLIV_17980 vdh; Valine dehydrogenase,K00271 vdh; valine dehydrogenase (NAD+) [EC:1.4.1.23],Metabolism,B  09105 Amino acid metabolism
SLIV_19120,pyruvate dehydrogenase (acetyl-transferring),"D      SLIV_19120 pyruvate dehydrogenase (acetyl-transferring) E1 component, alpha subunit",K00166 BCKDHA; 2-oxoisovalerate dehydrogenase E1 component subunit alpha [EC:1.2.4.4],Metabolism,B  09105 Amino acid metabolism
SLIV_19195,branched-chain alpha-keto acid dehydrogenase,D      SLIV_19195 branched-chain alpha-keto acid dehydrogenase E1 subunit alpha,K00166 BCKDHA; 2-oxoisovalerate dehydrogenase E1 component subunit alpha [EC:1.2.4.4],Metabolism,B  09105 Amino acid metabolism
SLIV_19125,bkdB; 3-methyl-2-oxobutanoate dehydrogenase,D      SLIV_19125 bkdB; 3-methyl-2-oxobutanoate dehydrogenase subunit beta,K00167 BCKDHB; 2-oxoisovalerate dehydrogenase E1 component subunit beta [EC:1.2.4.4],Metabolism,B  09105 Amino acid metabolism
SLIV_19200,pdhB; Pyruvate dehydrogenase E1 component su,D      SLIV_19200 pdhB; Pyruvate dehydrogenase E1 component subunit beta,K00167 BCKDHB; 2-oxoisovalerate dehydrogenase E1 component subunit beta [EC:1.2.4.4],Metabolism,B  09105 Amino acid metabolism
SLIV_19130,branched-chain alpha-keto acid dehydrogenase,D      SLIV_19130 branched-chain alpha-keto acid dehydrogenase subunit E2,K09699 DBT; 2-oxoisovalerate dehydrogenase E2 component (dihydrolipoyl transacylase) [EC:2.3.1.168],Metabolism,B  09105 Amino acid metabolism
SLIV_19205,branched-chain alpha-keto acid dehydrogenase,D      SLIV_19205 branched-chain alpha-keto acid dehydrogenase E2,K09699 DBT; 2-oxoisovalerate dehydrogenase E2 component (dihydrolipoyl transacylase) [EC:2.3.1.168],Metabolism,B  09105 Amino acid metabolism
SLIV_26810,dihydrolipoyl dehydrogenase,D      SLIV_26810 dihydrolipoyl dehydrogenase,K00382 DLD; dihydrolipoyl dehydrogenase [EC:1.8.1.4],Metabolism,B  09105 Amino acid metabolism
SLIV_08695,acyl-CoA dehydrogenase,D      SLIV_08695 acyl-CoA dehydrogenase,K00249 ACADM; acyl-CoA dehydrogenase [EC:1.3.8.7],Metabolism,B  09105 Amino acid metabolism
SLIV_29290,Acyl-CoA dehydrogenase family protein,D      SLIV_29290 Acyl-CoA dehydrogenase family protein,K00249 ACADM; acyl-CoA dehydrogenase [EC:1.3.8.7],Metabolism,B  09105 Amino acid metabolism
SLIV_23780,putative acyl-CoA dehydrogenase,D      SLIV_23780 putative acyl-CoA dehydrogenase,K11410 acdH; short-chain 2-methylacyl-CoA dehydrogenase [EC:1.3.8.5],Metabolism,B  09105 Amino acid metabolism
SLIV_11210,enoyl-CoA hydratase,D      SLIV_11210 enoyl-CoA hydratase,K01692 paaF; enoyl-CoA hydratase [EC:4.2.1.17],Metabolism,B  09105 Amino acid metabolism
SLIV_04575,fatty oxidation protein,D      SLIV_04575 fatty oxidation protein,K01782 fadJ; 3-hydroxyacyl-CoA dehydrogenase / enoyl-CoA hydratase / 3-hydroxybutyryl-CoA epimerase [EC:1.1.1.35 4.2.1.17 5.1.2.3],Metabolism,B  09105 Amino acid metabolism
SLIV_04850,fatty acid oxidative multifunctional enzyme,D      SLIV_04850 fatty acid oxidative multifunctional enzyme,K01782 fadJ; 3-hydroxyacyl-CoA dehydrogenase / enoyl-CoA hydratase / 3-hydroxybutyryl-CoA epimerase [EC:1.1.1.35 4.2.1.17 5.1.2.3],Metabolism,B  09105 Amino acid metabolism
SLIV_08010,acetyl-coa acetyltransferase,D      SLIV_08010 acetyl-coa acetyltransferase,K00632 fadA; acetyl-CoA acyltransferase [EC:2.3.1.16],Metabolism,B  09105 Amino acid metabolism
SLIV_31170,fadA; 3-ketoacyl-CoA thiolase,D      SLIV_31170 fadA; 3-ketoacyl-CoA thiolase,K00632 fadA; acetyl-CoA acyltransferase [EC:2.3.1.16],Metabolism,B  09105 Amino acid metabolism
SLIV_06790,bccA1; Acetyl-/propionyl-coenzyme A carboxyl,D      SLIV_06790 bccA1; Acetyl-/propionyl-coenzyme A carboxylase alpha chain,"K11263 bccA; acetyl-CoA/propionyl-CoA/long-chain acyl-CoA carboxylase, biotin carboxylase, biotin carboxyl carrier protein [EC:6.4.1.2 6.4.1.3 6.4.1.- 6.3.4.14]",Metabolism,B  09105 Amino acid metabolism
